source_id,gincdif,freehms,stflife,happy,trstprl
50049,1,4,7,6,4
50052,2,2,10,10,1
50062,1,5,4,3,6
50074,2,2,10,9,3
50082,2,5,8,8,7
50092,3,2,7,7,5
50102,2,2,8,10,7
50161,1,5,5,6,3
50231,2,5,9,8,2
50274,2,2,9,8,6
50277,1,3,8,8,3
50356,3,4,5,4,8
50368,2,2,9,9,3
50374,1,5,3,4,1
50532,2,2,9,9,3
50533,2,2,2,3,4
50552,4,4,3,7,0
50562,1,1,10,9,8
50579,2,4,5,4,3
50690,2,2,8,10,6
50698,4,3,10,9,2
50723,2,3,9,9,7
50734,1,2,5,6,5
50738,4,4,8,10,0
50762,4,4,10,10,0
50775,2,4,10,10,5
50877,2,,6,4,3
50942,2,1,,,1
50953,3,3,6,6,3
50999,2,3,5,5,5
51031,2,2,7,8,5
51038,2,4,7,9,0
51094,2,2,5,5,0
51121,2,2,8,8,8
51127,2,,9,5,9
51130,2,3,8,9,2
51137,2,2,7,8,2
51142,1,5,0,2,0
51176,1,5,8,5,5
51183,2,2,2,4,0
51196,1,2,10,9,3
51271,1,3,9,9,2
51273,4,1,10,10,5
51277,2,4,5,5,7
51279,1,2,7,9,3
51299,2,2,8,8,4
51316,1,2,8,8,5
51377,2,1,8,7,5
51381,3,4,5,5,5
51413,1,5,2,2,0
51423,2,4,9,7,8
51464,2,4,5,5,3
51557,3,5,9,9,5
51575,1,2,9,9,3
51598,3,5,3,5,4
51640,3,5,5,7,3
51648,1,3,1,8,5
51661,4,2,8,8,4
51702,4,2,8,8,7
51827,1,5,9,10,0
51873,3,2,7,9,1
51912,2,2,5,5,
51947,1,1,10,10,3
51954,2,,7,8,0
51994,3,2,8,8,3
52007,1,5,8,7,0
52042,2,2,6,6,4
52075,2,2,8,8,7
52083,1,2,8,10,4
52108,2,4,5,3,5
52172,1,3,7,7,3
52175,4,2,8,8,8
52198,4,3,5,8,4
52221,2,3,8,9,6
52236,3,2,8,8,5
52267,4,2,10,10,7
52302,1,2,8,8,6
52336,2,3,8,8,3
52347,3,2,10,8,6
52430,2,2,6,8,3
52442,4,3,5,5,6
52450,4,4,10,8,0
52526,2,2,6,7,7
52551,1,4,3,4,3
52560,4,1,8,9,7
52593,2,2,5,6,2
52598,4,5,9,9,3
52601,3,4,8,10,3
52625,2,5,7,9,3
52630,2,2,6,6,4
52635,2,2,5,7,5
52639,1,5,9,9,1
52680,2,2,8,8,2
52691,2,3,8,10,5
52709,1,3,6,5,1
52722,3,2,7,10,9
52771,2,4,8,8,2
52794,1,5,7,8,4
52806,2,3,5,5,1
52841,2,4,5,4,2
52856,1,,2,4,8
52857,1,1,8,9,6
52896,3,3,6,6,4
52945,2,3,6,6,2
52970,1,3,9,8,5
53004,2,3,5,8,2
53022,2,4,8,7,5
53042,3,2,8,8,4
53092,1,1,7,8,6
53098,3,5,8,8,0
53108,1,4,7,10,0
53119,2,5,7,8,1
53126,2,4,9,9,0
53164,2,3,6,8,4
53240,2,3,8,9,4
53276,3,4,,5,2
53284,1,3,7,7,3
53324,2,2,7,8,7
53400,3,3,7,8,9
53403,1,4,3,7,1
53449,3,3,5,7,5
53481,1,3,2,3,0
53501,1,4,3,5,5
53584,2,2,8,10,10
53644,2,4,10,10,5
53673,3,5,7,7,3
53697,2,3,8,8,5
53698,2,5,8,5,7
53737,1,2,3,5,5
53885,3,3,9,10,0
53925,2,2,10,9,8
53937,3,4,7,8,2
54041,3,,7,6,6
54067,1,4,7,5,2
54134,3,3,6,6,7
54138,4,2,8,8,5
54142,4,2,8,8,8
54157,1,2,6,6,2
54164,1,3,8,7,3
54195,2,4,5,7,0
54226,2,5,3,4,0
54259,2,4,7,5,1
54317,1,3,7,7,5
54355,2,2,3,8,4
54382,2,5,6,6,3
54383,2,4,5,10,9
54408,1,3,7,9,0
54409,2,3,8,8,2
54456,4,4,7,5,9
54519,4,2,8,10,4
54563,2,2,8,6,6
54580,1,2,8,10,7
54596,2,4,8,10,0
54615,2,4,10,8,7
54620,4,4,7,8,5
54632,3,3,6,6,7
54704,2,3,7,8,0
54708,1,3,4,7,2
54745,4,2,9,9,6
54771,4,2,8,9,4
54774,1,2,8,8,7
54776,2,2,8,8,3
54781,3,4,6,6,3
54841,1,5,6,3,0
54862,2,2,8,9,9
54879,4,3,8,8,6
54904,2,2,8,8,6
54927,2,4,10,10,5
54961,1,4,6,8,0
54981,1,3,6,5,
54985,2,2,10,5,9
54994,1,3,5,7,0
54998,2,2,5,8,1
55009,1,2,8,8,3
55043,2,4,10,10,0
55049,4,4,4,3,2
55083,1,4,6,8,7
