source_id,gincdif,freehms,stflife,happy,trstprl
50049,1,1,7,7,8
50052,1,1,8,7,6
50062,1,1,8,7,6
50074,1,1,8,7,8
50082,1,1,8,8,6
50092,1,1,8,8,7
50102,1,1,8,8,7
50161,1,1,8,8,8
50231,1,1,7,8,6
50274,1,1,8,7,7
50277,1,1,8,8,6
50356,1,1,8,8,6
50368,1,1,8,7,6
50374,1,1,8,7,7
50532,1,1,8,7,6
50533,1,1,8,8,8
50552,1,1,8,8,7
50562,1,1,7,7,7
50579,1,1,8,7,8
50690,1,1,8,8,7
50698,1,1,7,7,8
50723,1,1,8,8,6
50734,1,1,8,7,8
50738,1,1,8,8,8
50762,1,1,7,7,6
50775,1,1,8,7,7
50877,1,1,8,7,8
50942,1,1,7,8,8
50953,2,1,8,8,6
50999,1,1,8,8,8
51031,1,1,8,7,6
51038,1,1,7,8,8
51094,1,1,8,8,6
51121,1,1,8,8,6
51127,1,1,8,8,7
51130,1,1,8,7,7
51137,1,1,8,8,6
51142,1,1,7,7,6
51176,1,1,8,7,6
51183,1,1,8,8,8
51196,1,1,7,7,7
51271,1,1,8,7,6
51273,1,1,8,7,8
51277,1,1,8,7,7
51279,1,1,7,7,8
51299,1,1,8,8,6
51316,1,1,8,8,6
51377,1,1,7,7,8
51381,1,1,8,7,6
51413,1,1,8,8,8
51423,1,1,8,8,6
51464,1,1,8,8,6
51557,1,1,8,8,8
51575,1,1,8,8,6
51598,1,1,8,8,6
51640,1,1,7,8,6
51648,1,1,7,7,7
51661,1,1,8,8,6
51702,1,1,8,7,7
51827,1,1,8,7,6
51873,1,1,7,8,6
51912,1,1,8,7,6
51947,1,1,8,7,6
51954,1,1,8,7,6
51994,1,1,8,7,7
52007,1,1,7,7,8
52042,1,1,8,7,7
52075,1,1,8,7,6
52083,1,1,8,7,6
52108,1,1,8,7,7
52172,1,1,8,8,6
52175,1,1,8,7,6
52198,1,1,7,7,8
52221,1,1,6,6,2
52236,1,1,8,8,6
52267,1,1,8,8,7
52302,1,1,8,8,6
52336,1,1,7,8,7
52347,1,1,8,7,7
52430,1,1,8,7,6
52442,1,1,5,7,5
52450,1,1,7,7,6
52526,1,1,8,8,7
52551,1,1,7,7,6
52560,1,1,7,7,7
52593,1,1,8,8,7
52598,1,1,8,8,6
52601,1,1,8,8,7
52625,1,1,8,8,6
52630,1,1,8,7,6
52635,1,1,8,7,6
52639,1,1,8,8,6
52680,1,1,8,7,7
52691,1,1,8,7,8
52709,1,1,8,7,6
52722,1,1,8,7,6
52771,1,1,7,7,8
52794,1,1,7,7,6
52806,2,1,8,8,8
52841,1,1,8,7,6
52856,1,1,8,8,6
52857,1,1,8,7,6
52896,1,1,8,7,8
52945,1,1,7,7,7
52970,1,1,7,8,6
53004,1,1,8,8,8
53022,1,1,8,8,8
53042,1,1,8,7,6
53092,1,1,7,8,7
53098,1,1,8,7,6
53108,1,1,8,8,6
53119,1,1,8,7,6
53126,1,1,8,7,6
53164,1,1,8,7,8
53240,1,1,8,8,6
53276,1,1,8,8,7
53284,1,1,7,7,8
53324,1,1,8,7,6
53400,1,1,8,7,6
53403,1,1,8,7,6
53449,1,1,8,8,7
53481,1,1,8,8,6
53501,1,1,8,8,8
53584,1,1,8,7,8
53644,1,1,8,8,7
53673,1,1,8,7,6
53697,1,1,7,7,6
53698,1,1,8,7,6
53737,1,1,8,8,6
53885,1,1,7,7,5
53925,1,1,8,7,8
53937,1,1,7,7,6
54041,1,1,8,7,7
54067,1,1,8,7,8
54134,1,1,8,7,7
54138,1,1,7,8,6
54142,1,1,8,7,6
54157,1,1,8,7,6
54164,1,1,8,7,5
54195,1,1,8,7,8
54226,1,1,8,8,8
54259,1,1,8,7,8
54317,1,1,8,8,7
54355,1,1,8,8,6
54382,1,1,8,7,6
54383,1,1,8,8,8
54408,1,1,7,7,6
54409,1,1,8,7,8
54456,1,1,7,7,6
54519,1,1,8,7,8
54563,1,1,7,7,8
54580,1,1,8,7,6
54596,1,1,8,8,6
54615,1,1,8,8,8
54620,1,1,8,8,6
54704,1,1,8,7,6
54708,1,1,7,7,8
54745,1,1,8,7,6
54771,1,1,8,8,6
54774,1,1,8,8,6
54776,1,1,8,8,6
54781,1,1,8,7,6
54841,1,1,8,7,6
